,Accuracy,Precision,Recall,F1-score
Decision Tree,0.8515510204081632,0.265952380952381,0.20500000000000002,0.20717171717171717
K-Nearest Neighbors,0.8875918367346939,0.2,0.04,0.06666666666666667
Support Vector Machine,0.8996326530612245,0.0,0.0,0.0
Random Forest,0.8896326530612244,0.05,0.02,0.02857142857142857
